identifier,aaa,bbbb,cccc,dddd,title,creator,subjects,description,publisher,contributor,date,resource_type,format,language,source,relation,coverage,rights,card_url,image_url
U426_nichibunken_0037_0001_0000,426,0037,0001,0000,悪魔除；アクマヨケ,,悪魔；アクマ，鐘馗；ショウキ,鐘馗が、勇ましく刀を振り払っている姿が描かれている。画面左部に、逃げ去る化物の後ろ姿が小さく描かれている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0037 ：悪魔除；アクマヨケ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0037_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0037_0001_0000.jpg
U426_nichibunken_0068_0001_0000,426,0068,0001,0000,鵺；ヌエ,芳年,鵺；ヌエ,猪早太が鵺を取り押さえている場面。鵺は、頭が猿、胴体が虎、尾が蛇のようである。,所蔵者：国際日本文化研究センター,,2005,画像,,日本語,親書誌： U426_nichibunken_0068 ：内裏に猪早太鵺を刺圖；ダイリニイノハヤタヌエヲサスズ,,；内裏,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0068_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0068_0001_0000.jpg
U426_nichibunken_0070_0001_0000,426,0070,0001,0000,文福茶釜；ブッブクチャガマ,芳年,狸；タヌキ，茶釜；チャガマ,法衣をまとった狸。経机にもたれかかっている。,所蔵者：国際日本文化研究センター,,2005,画像,,日本語,親書誌： U426_nichibunken_0070 ：茂林寺の文福茶釜；モリンジノブンブクチャガマ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0070_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0070_0001_0000.jpg
U426_nichibunken_0071_0001_0000,426,0071,0001,0000,四ツ谷怪談；ヨツヤカイダン,芳年,帯；オビ，蛇；ヘビ,子供に乳をやるお岩。天井から垂れ下がった帯が蛇のようにうねり彼女に迫っている。,所蔵者：国際日本文化研究センター,,2005,画像,,日本語,親書誌： U426_nichibunken_0071 ：四ツ谷怪談；ヨツヤカイダン,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0071_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0071_0001_0000.jpg
U426_nichibunken_0081_0001_0000,426,0081,0001,0000,,,サイコロ；サイコロ,頭がサイコロの化物。やっこ姿で飾り槍を持った者が6体並んでいる。サイコロの目はそれぞれ1から6までをさしている。槍の飾りにはそれぞれ異なる顔面が描かれている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0001_0000.jpg
U426_nichibunken_0081_0002_0000,426,0081,0002,0000,せつた；セッタ,,雪駄；セッタ，男；オトコ,雪駄の化物。頭部が雪駄で、目鼻口がついている。体は裃をまとって脇差をさし、扇子を前にして座り、頭を下げている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0002_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0002_0000.jpg
U426_nichibunken_0081_0003_0000,426,0081,0003,0000,とくり；トックリ,,徳利；トックリ,徳利の化物。目鼻口がつき、舌を出している。酒のようなものが徳利の口から吹き出ている。腕脚がついており、座っている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0003_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0003_0000.jpg
U426_nichibunken_0081_0004_0000,426,0081,0004,0000,てをけ；テオケ,,手桶；テオケ,手桶の化物。目鼻口耳がついており、舌を突き出している。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0004_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0004_0000.jpg
U426_nichibunken_0081_0005_0000,426,0081,0005,0000,てぬぐひ；テヌグイ,,手ぬぐい；テヌグイ，蜻蛉；トンボ,手拭いの化物。目鼻口がついている。鼻の穴から数本の鼻毛が伸びており、そのうちの特に長い1本に蜻蛉が結びつけられている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0005_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0005_0000.jpg
U426_nichibunken_0081_0006_0000,426,0081,0006,0000,やくわん；ヤカン,,やかん；ヤカン，男；オトコ,やかんの化物。頭部がやかんで眉毛目鼻がついている。体には着物をまとい、胡座をかいて座っている。右手で自分の取っ手を持ち上げ、左手に茶碗を持ち、注ぎ口から何かを注いでいる。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0006_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0006_0000.jpg
U426_nichibunken_0081_0007_0000,426,0081,0007,0000,いとわく；イトワク,,糸枠；イトワク，扇；オウギ，男；オトコ,糸枠の化物。頭部は糸が巻きつけられた糸枠で、目鼻口がついている。体には着物をまとっており、左手に扇を持っている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0007_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0007_0000.jpg
U426_nichibunken_0081_0008_0000,426,0081,0008,0000,ぜに；ゼニ,,銭；ゼニ，男；オトコ,銭の化物。頭部が銭で、丸い目玉と口がついており、舌を出している。裃と足袋を身に着け、右手に扇を持ち、左手で斜め上方を指差している。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0008_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0008_0000.jpg
U426_nichibunken_0081_0009_0000,426,0081,0009,0000,くわしつぼ；カシツボ,,菓子壺；カシツボ,菓子壺の化物。大小2体が描かれている。大きい方は、眉目口がついており、腕と脚がついている。左手で蓋を持っている。おびのようなものを垂らしている。小さい壺も眉目鼻口がつき、腕が生えている。右腕を大きな壺に向けて伸ばしている。こちらは蓋がない。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0081 ：大新板化物飛巡双六；オオシンパンバケモノトビマハリスゴロク,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0081_0009_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0081_0009_0000.jpg
