identifier,aaa,bbbb,cccc,dddd,title,creator,subjects,description,publisher,contributor,date,resource_type,format,language,source,relation,coverage,rights,card_url,image_url
U426_nichibunken_0001_0001_0000,426,0001,0001,0000,,歌川房種,麻疹；ハシカ，麻疹の神；ハシカノカミ,着物姿の女を駕籠が追い越していく。女の肩には童子のようなはしかのかみがしがみつき、駕籠にも頭頂部が禿げたはしかのかみが跨っている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0001 ：麻疹心得之圖画；ハシカココロエノズエ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0001_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0001_0001_0000.jpg
U426_nichibunken_0001_0001_0001,426,0001,0001,0001,,歌川房種,麻疹；ハシカ，麻疹の神；ハシカノカミ,女の肩に乗る、童子のようなはしかのかみ。髪は逆立ち、青い鉢巻をして衣服をまとっている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0001 ：麻疹心得之圖画；ハシカココロエノズエ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0001_0001_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0001_0001_0001.jpg
U426_nichibunken_0004_0001_0000,426,0004,0001,0000,,歌川芳艶,麻疹；ハシカ，金柑；キンカン，飼葉桶；カイバオケ，麦；ムギ,中央に達磨のようなものが据えられている。金柑や麦、飼葉桶の頭に持つ化物達がその達磨のようなものを指差して、おののいたり逃げ回ったりしている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0004 ：はしかのまもり；ハシカノマモリ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0004_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0004_0001_0000.jpg
U426_nichibunken_0005_0001_0000,426,0005,0001,0000,,歌川芳艶,麻疹；ハシカ，金柑；キンカン，飼葉桶；カイバオケ，麦；ムギ,中央下部に、麻疹への効果を語り合っている3体の化物が座っている。左前の麦の頭を持つ化物は短冊を持っている。飼葉桶の頭を持つ化物が右前に座っている。後方中央部には、金柑の頭に持つ化物がいる。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0005 ：はしかまじないおしえ寶；ハシカマジナイオシエダカラ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0005_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0005_0001_0000.jpg
U426_nichibunken_0005_0001_0001,426,0005,0001,0001,,歌川芳艶,麦；ムギ,頭部が麦の穂の化物。麦の実柄の着物を着て、「麦殿は生まれぬ先に」の歌の書かれた短冊を持って座っている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0005 ：はしかまじないおしえ寶；ハシカマジナイオシエダカラ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0005_0001_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0005_0001_0001.jpg
U426_nichibunken_0007_0001_0000,426,0007,0001,0000,,歌川芳虎,麻疹；ハシカ，鐘馗；ショウキ，三つ目；ミツメ，四つ目；ヨツメ,ころり、はしか、麻疹、びょうりという4体の化物が、鐘馗や武人によって追い立てられている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0007 ：麻疹後の養生；ハシカノチノヨウジョウ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0007_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0007_0001_0000.jpg
U426_nichibunken_0007_0001_0001,426,0007,0001,0001,ころり；コロリ,歌川芳虎,麻疹；ハシカ，三つ目；ミツメ，ころり；コロリ,武人に追い立てられるころりの化物。毛髪は逆立ち、赤い鉢巻をし、白衣をまとっている。三つ目である。武人の剣に恐れ諸手をあげている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0007 ：麻疹後の養生；ハシカノチノヨウジョウ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0007_0001_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0007_0001_0001.jpg
U426_nichibunken_0009_0001_0000,426,0009,0001,0000,麦殿大明神；ムギドノダイミョウジン,歌川芳盛,麻疹；ハシカ，麦殿大明神；ムギドノダイミョウジン,たらようの葉を手に持ち、うさい角の鎧を着けた麻疹独特の神である麦殿大明神が、麻疹神を踏みつけている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0009 ：麦殿大明神；ムギドノダイミョウジン,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0009_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0009_0001_0000.jpg
U426_nichibunken_0010_0001_0000,426,0010,0001,0000,,落合芳幾,麻疹；ハシカ，麦；ムギ，黒豆；クロマメ，うさい角；ウサイカク，麻疹の神；ハシカノカミ,麻疹に良いとされている黒豆、麦、解熱剤のうさい角という文字が書かれた顔の化物が、2体の麻疹の神を退治しようとしている。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0010 ：はしか養生草；ハシカヨウジョウグサ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0010_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0010_0001_0000.jpg
U426_nichibunken_0010_0001_0001,426,0010,0001,0001,,落合芳幾,麻疹；ハシカ，麻疹の神；ハシカノカミ,2体の麻疹の神。奥は肌が白く、口を大きく開いて苦悶の表情を浮かべている。手前は肌が青く、必死に逃げようと左手を前に突き出している。,所蔵者：国際日本文化研究センター,,2006,画像,,日本語,親書誌： U426_nichibunken_0010 ：はしか養生草；ハシカヨウジョウグサ,,,所蔵者：国際日本文化研究センター,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0010_0001_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0010_0001_0001.jpg
